Name,Address,Postcode,City,Phone,Website
Centre dentaire de Martigny,"Rue des Cèdres 9, 1920 Martigny",1920,Martigny,tel:+41277229188,https://www.local.ch/en/d/martigny/1920/dentist/centre-dentaire-de-martigny-7X_5AS9MFo4v6firfX9VYQ
Centre dentaire de Sierre,"Avenue Général-Guisan 30, 3960 Sierre",3960,Sierre,tel:+41274567575,https://www.local.ch/en/d/sierre/3960/dentist/centre-dentaire-de-sierre-8ArvnRl98PlkJ6uULE8Xuw
Centre dentaire de Sion,"Rue du Scex 33, 1950 Sion",1950,Sion,tel:+41273227576,https://www.local.ch/en/d/sion/1950/dental-clinic/centre-dentaire-de-sion-JiT9JaBAhkQySNWW9GBFgg
Centre dentaire de Versoix,"Grand-Montfleury 54, 1290 Versoix",1290,Versoix,tel:+41227750300,https://www.local.ch/en/d/versoix/1290/dentist/centre-dentaire-de-versoix-e1SDhHKjo86_vwKn9uJI9g
Centre Jean-Violette,"Rue Jean-Violette 3-5, 1205 Genève",1205,Genève,tel:+41223204022,https://www.local.ch/en/d/geneve/1205/radiological-institute/centre-jean-violette-Qn4kbCvNyJZgoiIwa0lK3A
Centre Médical de Sion,"Rue du Scex 33, 1950 Sion",1950,Sion,tel:+41273227578,https://www.local.ch/en/d/sion/1950/health-care-center/centre-medical-de-sion-uKy8IBtPDfOI85GWHEVAGg
Centre médical VIGIMED,"Rue du Léman 18B, 1920 Martigny",1920,Martigny,tel:+41277755575,https://www.local.ch/en/d/martigny/1920/medical-centre/centre-medical-vigimed-EHFthg7iOf2xaDsN99JoNg
Centre Médico-Chirurgical Vermont-Grand-Pré SA,"Rue de Vermont 9A, 1202 Genève",1202,Genève,tel:+41227345150,https://www.local.ch/en/d/geneve/1202/physician-on-call/centre-medico-chirurgical-vermont-grand-pre-sa-ysUQvj2sewq9VqZ4VsOKFQ
CENTRO LASER LUGANO,"Riva Antonio Caccia 1b, 6900 Lugano",6900,Lugano,tel:+41919857050,https://www.local.ch/en/d/lugano/6900/ophthalmology/centro-laser-lugano-KW8P9rlRmS-wFEupOrrnAg
CLINICA HILDEBRAND,"Via Crodolo 18, 6614 Brissago",6614,Brissago,tel:+41917868686,https://www.local.ch/en/d/brissago/6614/clinic/clinica-hildebrand-yFF57dLoMXnAXHhQVYWWww
Clinica Holistica Engiadina SA,"Plaz 40, 7542 Susch",7542,Susch,tel:+41813002030,https://www.local.ch/en/d/susch/7542/clinic/clinica-holistica-engiadina-sa-hucRA6oy69mdwRumGsfENw
CLINICA OCULISTICA LUGANO,"Riva Antonio Caccia 1B, 6900 Lugano",6900,Lugano,tel:+41919857050,https://www.local.ch/en/d/lugano/6900/ophthalmology/clinica-oculistica-lugano-KsFOUs_1zBUAHmhijPh4uA
Clinique de la Main Genève,"Rue des Bains 35, 1205 Genève",1205,Genève,tel:+41225950808,https://www.local.ch/en/d/geneve/1205/clinic/clinique-de-la-main-geneve-8tqYGmLxv6jujAhVrGO-Gg
Clinique de Maisonneuve SA,"Avenue de Châtelaine 60, 1219 Châtelaine",1219,Châtelaine,tel:+41229794646,https://www.local.ch/en/d/chatelaine/1219/clinic/clinique-de-maisonneuve-sa-_n7RYTxGwqm1e1CsjAlNsQ
Clinique romande de réadaptation (Suva),"Avenue du Grand-Champsec 90, 1950 Sion",1950,Sion,tel:+41276033030,https://www.local.ch/en/d/sion/1950/clinic/clinique-romande-de-readaptation-suva-xpAirwxZDWvnEfU8PjWo6w
Dr. med. Dombi Veronika Hanna,"Bahnhöfliplatz 2, 8634 Hombrechtikon",8634,Hombrechtikon,tel:+41552544004,https://www.local.ch/en/d/hombrechtikon/8634/gynaecology-and-obstetrics/dr-med-dombi-veronika-hanna-10Rb38ilTtJYts1c-1Sxhw
entero Klinik,"Zürcherstrasse 52, 5432 Neuenhof",5432,Neuenhof,tel:+41628869910,https://www.local.ch/en/d/neuenhof/5432/addiction-treatment/entero-klinik-U7wzb-npkLDa1bzD2ft_jA
ENTOURAGE Medical Esthetic Solutions SA,"Avenue de la Gare 39A, 1003 Lausanne",1003,Lausanne,tel:+41215526000,https://www.local.ch/en/d/lausanne/1003/plastic-reconstructive-and-aesthetic-surgery/entourage-medical-esthetic-solutions-sa-4oxOxxCsHyiLlhIELBAjSQ
ESTHETIKA,"Avenue de la Gare 30, 1630 Bulle",1630,Bulle,tel:+41269138000,https://www.local.ch/en/d/bulle/1630/clinic/esthetika-FyLFtnqqTLO3RvSP4OSKJQ
fisioAndreotti & Co. SA,"Via Chicherio 2, 6514 Sementina",6514,Sementina,tel:+41918509540,https://www.local.ch/en/d/sementina/6514/physical-therapy/fisioandreotti-co-sa-P8Sgu7p3ckNdwGI2J0xaAQ
Gesundheitszentrum Fricktal AG,"Mühlegasse 18, 5070 Frick",5070,Frick,tel:+41628657777,https://www.local.ch/en/d/frick/5070/hospital/gesundheitszentrum-fricktal-ag-CkLCAnjKdgn156HuGGBuPA
GGHA - Cabinet de Gastroentérologie,"Rue Giovanni-Gambini 8, 1206 Genève",1206,Genève,tel:+41229081000,https://www.local.ch/en/d/geneve/1206/clinic/ggha-cabinet-de-gastroenterologie-rHkMPD3tCQdpsLAjr7vgSQ
HandZentrum Hirslanden Zürich,"Morgental 35, 8126 Zumikon",8126,Zumikon,tel:+41432880015,https://www.local.ch/en/d/zumikon/8126/hospital/handzentrum-hirslanden-zuerich-KLk7UAO8MY4TqEjc_RimXQ
HerzGefässKlinik Bethanien,"Toblerstrasse 51, 8044 Zürich",8044,Zürich,,https://www.local.ch/en/d/zuerich/8044/clinic/herzgefaessklinik-bethanien-MAxOmiMu-GQx70ACHMMhMw
HerzKlinik Hirslanden,"Witellikerstrasse 40, 8008 Zürich",8008,Zürich,tel:+41443879700,https://www.local.ch/en/d/zuerich/8008/clinic/herzklinik-hirslanden-4YjF90mzt5HCgsm9tsUXEA
HerzZentrum Hirslanden AG,"Witellikerstrasse 36, 8008 Zürich",8008,Zürich,tel:+41443873711,https://www.local.ch/en/d/zuerich/8008/clinic/herzzentrum-hirslanden-ag-Zp_veIZnXGucwXCfobPZkQ
Kantonsspital Nidwalden,"Ennetmooserstrasse 19, 6370 Stans",6370,Stans,tel:+41416181818,https://www.local.ch/en/d/stans/6370/hospital/kantonsspital-nidwalden-__xsWCXPSeIVb7shiRDyNw
Klinik Arlesheim AG,"Pfeffingerweg 1, 4144 Arlesheim",4144,Arlesheim,tel:+41617057111,https://www.local.ch/en/d/arlesheim/4144/hospital/klinik-arlesheim-ag-dLAaqw-dWXHtNMR5GoUg-g
Klinik Professor Sailer,"Heuelstrasse 28, 8032 Zürich",8032,Zürich,tel:+41432683078,https://www.local.ch/en/d/zuerich/8032/plastic-reconstructive-and-aesthetic-surgery/klinik-professor-sailer-awE97k2lERPomYfllk1LNA
Klinik Seeschau AG,"Bernrainstrasse 17, 8280 Kreuzlingen",8280,Kreuzlingen,tel:+41716775353,https://www.local.ch/en/d/kreuzlingen/8280/clinic/klinik-seeschau-ag-2iDu_CPsHis8Nq9as2e3TA
Klinik SGM Langenthal,"Weissensteinstrasse 30, 4900 Langenthal",4900,Langenthal,tel:+41629192211,https://www.local.ch/en/d/langenthal/4900/clinic/klinik-sgm-langenthal-ci70FVl8A0qcVKmyZHDM7w
Klinik Sonnenhalde AG Psychiatrie und Psychotherapie,"Gänshaldenweg 28, 4125 Riehen",4125,Riehen,tel:+41616454646,https://www.local.ch/en/d/riehen/4125/psychiatric/klinik-sonnenhalde-ag-psychiatrie-und-psychotherapie-h7YuMYxsnT-hwqD3nqOAyw
Klinik Wysshölzli,"Waldrandweg 19, 3360 Herzogenbuchsee",3360,Herzogenbuchsee,tel:+41629562356,https://www.local.ch/en/d/herzogenbuchsee/3360/clinic/klinik-wysshoelzli-HdzOtZyzJpu4Y3PvcAjOdQ
LipoFilling,"Dammstrasse 29, 8702 Zollikon",8702,Zollikon,tel:+41443971717,https://www.local.ch/en/d/zollikon/8702/clinic/lipofilling-frC02xIiv4qzTeReUsj1ww
Maison Tóā - Clinique esthétique,"Voie du Chariot 6, 1003 Lausanne",1003,Lausanne,tel:+41217917070,https://www.local.ch/en/d/lausanne/1003/clinic/maison-toa-clinique-esthetique-Lz9ktKRXFQhO6pA1oHofAA
Dr. med. Menon Suresh,"Brättligäu 6, 5600 Lenzburg",5600,Lenzburg,tel:+41628910808,https://www.local.ch/en/d/lenzburg/5600/eye-center/dr-med-menon-suresh-uQZPU5bZN5HF1NdJpdQNtw
Ospedale Malcantonese,"Nucleo Castelrotto, 6980 Castelrotto",6980,Castelrotto,tel:+41916113700,https://www.local.ch/en/d/castelrotto/6980/hospital/ospedale-malcantonese-PBY661lw2VxHg9NOtbGc4A
Polyclinique Helvétique du Rhône - Centre partenaire Unilabs,"Rue du Rhône 118, 1204 Genève",1204,Genève,tel:+41227079670,https://www.local.ch/en/d/geneve/1204/surgery/polyclinique-helvetique-du-rhone-centre-partenaire-unilabs-uYReDCVfFVrrGZ-QFYaWjA
POLYMEDES Schmerzzentrum,"Fröhlichstrasse 7, 5200 Brugg AG",5200,AG,tel:+41433666262,https://www.local.ch/en/d/brugg-ag/5200/pain-therapy/polymedes-schmerzzentrum-h-57jHgUbTTJ_6I_IRQELA
Privatklinik Wyss AG,"Fellenbergstrasse 34, 3053 Münchenbuchsee",3053,Münchenbuchsee,tel:+41318683333,https://www.local.ch/en/d/muenchenbuchsee/3053/private-clinic/privatklinik-wyss-ag-P5Y-ORQ5iJIv7RMsyOpiCg
Psychiatrische Universitätsklinik Zürich,"Lenggstrasse 31, 8008 Zürich",8008,Zürich,tel:+41583842111,https://www.local.ch/en/d/zuerich/8008/hospital/psychiatrische-universitaetsklinik-zuerich-jg8xlFoqQrzF8KLKkIsQLA
PZM Psychiatrie Biel/Psychiatrie Bienne,"Vogelsang 84, 2502 Biel/Bienne",2502,Biel/Bienne,tel:+41323242323,https://www.local.ch/en/d/biel-bienne/2502/psychiatry-and-psychotherapy/pzm-psychiatrie-biel-psychiatrie-bienne-aqXVxDtx7d3jNocN8iPExQ
PZM Psychiatriezentrum Münsingen AG,"Hunzigenallee 1, 3110 Münsingen",3110,Münsingen,tel:+41317208111,https://www.local.ch/en/d/muensingen/3110/psychiatry-and-psychotherapy/pzm-psychiatriezentrum-muensingen-ag-62UkyqhmSv2biaAn9cFA1Q
Schlafapnoe,"Heuelstrasse 28, 8032 Zürich",8032,Zürich,tel:+41432683078,https://www.local.ch/en/d/zuerich/8032/head-and-neck-surgery/schlafapnoe-Z_frIbnBhcgqNi2uXlMi5w
Schlaflabor Zürich AG,"Sonnenbergstrasse 60, 8032 Zürich",8032,Zürich,tel:+41435558099,https://www.local.ch/en/d/zuerich/8032/general-internal-medicine/schlaflabor-zuerich-ag-EJxHiFTDOvlbeZC7L9QF8w
Spital Affoltern,"Sonnenbergstrasse 27, 8910 Affoltern am Albis",8910,Albis,tel:+41447142111,https://www.local.ch/en/d/affoltern-am-albis/8910/hospital/spital-affoltern-G412EAy3fjIMbYNknDQIUw
Swiss Central Clinic AG,"Giesshübelstrasse 45, 8045 Zürich",8045,Zürich,tel:+41415108045,https://www.local.ch/en/d/zuerich/8045/clinic/swiss-central-clinic-ag-vxUvXcfgONioHz1QHUYVUQ
Swissklinik - Zentrum Orthopädische Chirurgie und Gefäss-/Venenchirurgie Pfäffikon,"Gwattstrasse 15, 8808 Pfäffikon SZ",8808,SZ,tel:+41554154070,https://www.local.ch/en/d/pfaeffikon-sz/8808/orthopaedic-surgery/swissklinik-zentrum-orthopaedische-chirurgie-und-gefaess-venenchirurgie-pfaeffikon-c_5asCGYHIYTYqsPUAg85Q
Tiefenbrunnen,"Dammstrasse 29, 8702 Zollikon",8702,Zollikon,tel:+41443971717,https://www.local.ch/en/d/zollikon/8702/clinic/tiefenbrunnen-AbHo1bcasx8xpEatuF1d_w
Zanzi Clinic,"Place Bel-Air 1, 1003 Lausanne",1003,Lausanne,tel:+41213203515,https://www.local.ch/en/d/lausanne/1003/plastic-reconstructive-and-aesthetic-surgery/zanzi-clinic-7myfIEoJbBZFREwc_vol0w
Dr Zuber Christian,"Rue de Lausanne 25, 1950 Sion",1950,Sion,tel:+41273228222,https://www.local.ch/en/d/sion/1950/plastic-reconstructive-and-aesthetic-surgery/dr-zuber-christian-JiZaCvEt5UfwtBQ0yzcdIg
Ambi Rorschach,"Heidenerstrasse 11, 9400 Rorschach",9400,Rorschach,tel:+41718583111,https://www.local.ch/en/d/rorschach/9400/hospital/ambi-rorschach-MvHeMdBvTWXFUIx8YeT9Ag
Kantonsspital St.Gallen,"Rorschacher Strasse 95, 9000 St. Gallen",9000,Gallen,tel:+41714941111,https://www.local.ch/en/d/st-gallen/9000/hospital/kantonsspital-st-gallen-7J_1liJHRYDi5KnX1YIrpQ
Ospedale Regionale di Locarno La Carità - EOC,"Via dell'Ospedale 1, 6600 Locarno",6600,Locarno,tel:+41918114111,https://www.local.ch/en/d/locarno/6600/clinic/ospedale-regionale-di-locarno-la-carita-eoc-LYYPAvkYmfTrbSClCUwfsg
Spital Zollikerberg,"Trichtenhauser Strasse 20, 8125 Zollikerberg",8125,Zollikerberg,tel:+41443972111,https://www.local.ch/en/d/zollikerberg/8125/hospital/spital-zollikerberg-h2yBr7FAOfRwL7G3gmdaIw
Dr. med. Schneider Christoph,"Bohl 1, 9000 St. Gallen",9000,Gallen,tel:+41712235353,https://www.local.ch/en/d/st-gallen/9000/gynaecology-and-obstetrics/dr-med-schneider-christoph-Ou85dnF9kDf56PZGJnS3iw
Dr méd. Abrazhda Dritan,"Rue T.-Combe 1, 2400 Le Locle",2400,Locle,tel:+41329422067,https://www.local.ch/en/d/le-locle/2400/surgery/dr-med-abrazhda-dritan-dtB_GYejvW1OuWWazrtdCw
Ambi Flawil,"Magdenauerstrasse 1, 9230 Flawil",9230,Flawil,tel:+41714946295,https://www.local.ch/en/d/flawil/9230/hospital/ambi-flawil-80noRvRCrm-TJJP6tZNasA
Blutspendezentrum SRK beider Basel,"Hebelstrasse 10, 4031 Basel",4031,Basel,tel:+41612652090,https://www.local.ch/en/d/basel/4031/blood-donations/blutspendezentrum-srk-beider-basel-OXKKbfCYEVOItk-mE1odcw
centromedico Castione,"Via delle Scuole 2b, 6532 Castione",6532,Castione,tel:+41916402456,https://www.local.ch/en/d/castione/6532/medical-centre/centromedico-castione-u1ZV9P9UDnTEbGs-dJa8ZQ
centromedico locarno,"Via Stefano Franscini 12, 6600 Locarno",6600,Locarno,tel:+41916402840,https://www.local.ch/en/d/locarno/6600/medical-centre/centromedico-locarno-D8CHdk_C5Idog0nE_gHwdw
"Clinica di Riabilitazione EOC, Faido - EOC","Via Ospedale 32, 6760 Faido",6760,Faido,tel:+41918112111,https://www.local.ch/en/d/faido/6760/clinic/clinica-di-riabilitazione-eoc-faido-eoc-GHCp3VI81RUuct9NEVeIOw
"Clinica di Riabilitazione EOC, Novaggio - EOC","Via Dr. Erich Schwarz 6, 6986 Novaggio",6986,Novaggio,tel:+41918112211,https://www.local.ch/en/d/novaggio/6986/clinic/clinica-di-riabilitazione-eoc-novaggio-eoc-0TcstQ3fiYAAKvfTmj3CmQ
Clinique Bois-Bougy Sàrl,"Avenue de Bois-Bougy 6, 1260 Nyon",1260,Nyon,tel:+41224363636,https://www.local.ch/en/d/nyon/1260/clinic/clinique-bois-bougy-sarl-QqU9BZQLIh1O-H-wz3sT7Q
Clinique La Métairie Sàrl,"Avenue de Bois-Bougy 8, 1260 Nyon",1260,Nyon,tel:+41223632020,https://www.local.ch/en/d/nyon/1260/clinic/clinique-la-metairie-sarl-83zNchYPDX8XJGIuAIVE4A
Clinique Le Noirmont,"Chemin de Roc-Montès 20, 2340 Le Noirmont",2340,Noirmont,tel:+41329575111,https://www.local.ch/en/d/le-noirmont/2340/hospital/clinique-le-noirmont-VrqqOs0hEml5mnYauGPOiA
Clinique Suisse Martigny,"Rue du Léman 19, 1920 Martigny",1920,Martigny,tel:+41273237788,https://www.local.ch/en/d/martigny/1920/general-internal-medicine/clinique-suisse-martigny-Tk-WwwPljqDWgmxc4NM2fQ
Clinique Suisse Montreux SA,"Grand-Rue 3, 1820 Montreux",1820,Montreux,tel:+41219668181,https://www.local.ch/en/d/montreux/1820/clinic/clinique-suisse-montreux-sa-Wdu1HreGcoOIMeh5X05jmw
crossklinik,"Bundesstrasse 1, 4054 Basel",4054,Basel,tel:+41612851010,https://www.local.ch/en/d/basel/4054/sport-and-exercise-medicine/crossklinik-xeGEkNeGCEcyD5sycUByxA
Edelweiss Medical Sàrl,"Route des Arsenaux 6, 1700 Fribourg",1700,Fribourg,tel:+41264204000,https://www.local.ch/en/d/fribourg/1700/clinic/edelweiss-medical-sarl-q2Gms2FKImUxMWl5Jr8fPg
entero Klinik,"Hutmattenweg 11, 5704 Egliswil",5704,Egliswil,tel:+41628869950,https://www.local.ch/en/d/egliswil/5704/addiction-treatment/entero-klinik-PyE5jAA7t4DhPc3qppYRfw
entero Klinik,"Steinlerweg 12, 5702 Niederlenz",5702,Niederlenz,tel:+41628869930,https://www.local.ch/en/d/niederlenz/5702/addiction-treatment/entero-klinik-Qnsc95o0k-GG5RMuF_kD4Q
Herz-Neuro-Zentrum Bodensee AG,"Spitalstrasse 15, 8596 Münsterlingen",8596,Münsterlingen,tel:+41716775151,https://www.local.ch/en/d/muensterlingen/8596/hospital/herz-neuro-zentrum-bodensee-ag-hPTlCFpZKHQmI96UGxFxYA
Integrierte Psychiatrie Winterthur - Zürcher Unterland ipw,"Wieshofstrasse 102, 8408 Winterthur",8408,Winterthur,tel:+41522643333,https://www.local.ch/en/d/winterthur/8408/psychiatric/integrierte-psychiatrie-winterthur-zuercher-unterland-ipw-d-GRCuDAECDS7Hb61w4qQA
Istituto Cardiocentro Ticino,"Via Tesserete 48, 6900 Lugano",6900,Lugano,tel:+41918115111,https://www.local.ch/en/d/lugano/6900/clinic/istituto-cardiocentro-ticino-c86k1P7T0hjcbMZfp5OZQg
Klinik Schloss Mammern AG,"Dr. A. O.Fleisch-Strasse 3, 8265 Mammern",8265,Mammern,tel:+41527421111,https://www.local.ch/en/d/mammern/8265/rehabilitation/klinik-schloss-mammern-ag-DkWWkG38lpGkx_FI4l50Iw
Klinik Schönberg AG,"Schönbergstrasse 40, 3654 Gunten",3654,Gunten,tel:+41332523838,https://www.local.ch/en/d/gunten/3654/rehabilitation/klinik-schoenberg-ag-BAFCc6PaEeOqYgzVCbA8bw
Leukerbad Clinic (LBCL),"Willy-Spühlerstrasse 2, 3954 Leukerbad",3954,Leukerbad,tel:+41274725111,https://www.local.ch/en/d/leukerbad/3954/clinic/leukerbad-clinic-lbcl-0Dmb1C1o-Pm5Bn88l10rlw
Luzerner Höhenklinik Montana - Clinique Lucernoise,"Route de l'Astoria 2, 3963 Crans-Montana",3963,Crans-Montana,tel:+41274858181,https://www.local.ch/en/d/crans-montana/3963/clinic/luzerner-hoehenklinik-montana-clinique-lucernoise-8kFW1fq0Ii3wCXGF_zlvUA
MEDIFORM PRAXIS & TAGESKLINIK FÜR CHIRURGIE,"Bahnhofstrasse 9, 8580 Amriswil",8580,Amriswil,,https://www.local.ch/en/d/amriswil/8580/clinic/mediform-praxis-tagesklinik-fuer-chirurgie-h6B0HPhmEz9NRKBfSBqXdw
Oberwaid - Das Hotel. Die Klinik.,"Rorschacher Strasse 311, 9016 St. Gallen",9016,Gallen,tel:+41712820000,https://www.local.ch/en/d/st-gallen/9016/hotel/oberwaid-das-hotel-die-klinik-xB4mUgQPdvgRUyJbhyJgvg
Oncologia Varini Calderoni Christinat,"Via Antonio Fogazzaro 3, 6900 Lugano",6900,Lugano,tel:+41919226988,https://www.local.ch/en/d/lugano/6900/medical-oncology/oncologia-varini-calderoni-christinat-Fi9QUuPCOsj1_2XyR3P98g
Praxisklinik Dr. med. Rolf Hüsler,"Zürichstrasse 7, 6004 Luzern",6004,Luzern,tel:+41414120686,https://www.local.ch/en/d/luzern/6004/plastic-reconstructive-and-aesthetic-surgery/praxisklinik-dr-med-rolf-huesler-71inTaYKbkCA1hZ1uescbQ
Privatklinik Hohenegg AG,"Hohenegg 1, 8706 Meilen",8706,Meilen,tel:+41449251212,https://www.local.ch/en/d/meilen/8706/psychiatric/privatklinik-hohenegg-ag-wCjodHziwBm12yB64bzQSg
Procrea Centro Fertilità Svizzera Italiana SA,"Via Clemente Maraini 8, 6900 Lugano",6900,Lugano,tel:+41919245555,https://www.local.ch/en/d/lugano/6900/clinic/procrea-centro-fertilita-svizzera-italiana-sa-SSXQbZdnpQ1v25O_3obREQ
Psychiatrische Dienste Graubünden (PDGR),"Loëstrasse 220, 7000 Chur",7000,Chur,tel:+41582252525,https://www.local.ch/en/d/chur/7000/psychiatry-and-psychotherapy/psychiatrische-dienste-graubuenden-pdgr-RjD78y1n4mdTOZ3ZVeB_Kw
Rennbahnklinik,"Kriegackerstrasse 100, 4132 Muttenz",4132,Muttenz,tel:+41614656464,https://www.local.ch/en/d/muttenz/4132/sport-and-exercise-medicine/rennbahnklinik-bhulOlrFfEdLrDPnIcniSw
Rosengarten Frauenpraxis AG,"Bahnhofstrasse 231, 8623 Wetzikon ZH",8623,ZH,tel:+41434952919,https://www.local.ch/en/d/wetzikon-zh/8623/gynaecology-and-obstetrics/rosengarten-frauenpraxis-ag-p_Ylrwj79f9c-KckcWq-AA
St. Claraspital,"Kleinriehenstrasse 30, 4058 Basel",4058,Basel,tel:+41616858585,https://www.local.ch/en/d/basel/4058/hospital/st-claraspital-ou6Jd-4LM-R80Py3XjQ0Yg
Dr méd. Staszewicz Wojciech,"Chemin des Retraites 11, 1004 Lausanne",1004,Lausanne,tel:+41213239752,https://www.local.ch/en/d/lausanne/1004/surgery/dr-med-staszewicz-wojciech-v-KKFGIN6h8TEGe3Pcs7jQ
Tierklinik Leimental,"Gewerbestrasse 4, 4105 Biel-Benken BL",4105,BL,tel:+41617221010,https://www.local.ch/en/d/biel-benken-bl/4105/vet/tierklinik-leimental-ABlt3BClUpdUlLCShvJCfw
Universitäres Zentrum für Prävention und Sportmedizin,"Forchstrasse 319, 8008 Zürich",8008,Zürich,tel:+41443865252,https://www.local.ch/en/d/zuerich/8008/physical-therapy/universitaeres-zentrum-fuer-praevention-und-sportmedizin-aJW4Gd3x6UXe0RMNmfYCSQ
UroZentrum Zürich,"Forchstrasse 424, 8702 Zollikon",8702,Zollikon,tel:+41445526400,https://www.local.ch/en/d/zollikon/8702/urology/urozentrum-zuerich-AYgTAuHhomGmHUhkHTyDOA
Viarnetto,"Via Ceresio 34B, 6963 Pregassona",6963,Pregassona,tel:+41919713221,https://www.local.ch/en/d/pregassona/6963/clinic/viarnetto-TQizhhfsGCMxZ6x9fJ4Vkg
Zentrum für Schlafmedizin AG Hirslanden,"Forchstrasse 420, 8702 Zollikon",8702,Zollikon,tel:+41434995211,https://www.local.ch/en/d/zollikon/8702/center/zentrum-fuer-schlafmedizin-ag-hirslanden-9uwfD148rc0oIhr_CWQwwA
Kantonsspital Frauenfeld,"Pfaffenholzstrasse 4, 8500 Frauenfeld",8500,Frauenfeld,tel:+41527237711,https://www.local.ch/en/d/frauenfeld/8500/clinic/kantonsspital-frauenfeld-T27pC4zvi5p_mp8XPbHxPQ
Kantonsspital Münsterlingen,"Spitalcampus 1, 8596 Münsterlingen",8596,Münsterlingen,tel:+41716861111,https://www.local.ch/en/d/muensterlingen/8596/clinic/kantonsspital-muensterlingen-hgc4oE5HO79VMyCSXIdpgA
Klinik Schützen Rheinfelden,"Bahnhofstrasse 19, 4310 Rheinfelden",4310,Rheinfelden,tel:+41618362626,https://www.local.ch/en/d/rheinfelden/4310/clinic/klinik-schuetzen-rheinfelden-6vl08jwc1yKW8Ktwe-HMnA
Merian Iselin Klinik,"Föhrenstrasse 2, 4054 Basel",4054,Basel,tel:+41613051111,https://www.local.ch/en/d/basel/4054/hospital/merian-iselin-klinik-_odsTMQZQt1Toyj-CLj6XQ
Dr. med. Gilg Martin,"Vadianstrasse 31, 9000 St. Gallen",9000,Gallen,tel:+41712220744,https://www.local.ch/en/d/st-gallen/9000/surgery/dr-med-gilg-martin-8s50lv64F5fKus-wDPdZbQ
Alpstein Clinic Gais,"Dorfplatz 5, 9056 Gais",9056,Gais,tel:+41717918100,https://www.local.ch/en/d/gais/9056/health-center/alpstein-clinic-gais-l5lDebw3-8eEIeld2_pzqQ
